timestamp,user,action,repo,repo_sensitivity,bytes_out,device,ip
2026-01-01T16:25:15,peer4,git_clone,build-pipelines,internal,201913314,corp-laptop-11,10.112.40.241
2026-01-01T17:49:42,engineer.a,git_archive_download,smartnic-fw,restricted,259546717,corp-laptop-14,10.240.8.250
2026-01-01T18:55:52,peer2,git_archive_download,general-tools,internal,253049386,corp-workstation-7,10.25.84.196
2026-01-01T19:03:26,peer5,git_clone,ai-orchestrator,crown_jewel,124110854,corp-laptop-14,10.216.98.98
2026-01-01T19:14:45,peer5,git_fetch,ai-orchestrator,crown_jewel,28356908,corp-workstation-7,10.1.225.242
2026-01-01T20:15:02,peer4,git_fetch,accelerator-arch,restricted,44005531,corp-laptop-11,10.14.55.116
2026-01-01T21:33:28,engineer.a,git_archive_download,ai-orchestrator,crown_jewel,64213133,corp-laptop-14,10.6.208.115
2026-01-01T21:35:13,peer2,git_pull,general-tools,internal,11230750,corp-laptop-11,10.117.155.217
2026-01-02T00:10:32,peer3,git_clone,accelerator-arch,restricted,120509484,corp-workstation-7,10.128.243.60
2026-01-02T00:21:52,peer2,git_archive_download,build-pipelines,internal,162372406,corp-laptop-14,10.191.46.135
2026-01-02T00:45:13,peer4,git_fetch,ai-orchestrator,crown_jewel,1320682,corp-laptop-22,10.71.236.77
2026-01-02T01:08:13,peer1,git_pull,smartnic-fw,restricted,9453629,corp-laptop-11,10.106.120.154
2026-01-02T01:20:29,peer1,git_fetch,general-tools,internal,40590874,corp-laptop-22,10.150.179.122
2026-01-02T02:32:44,peer3,git_archive_download,build-pipelines,internal,242567569,corp-laptop-14,10.181.239.95
2026-01-02T04:07:14,peer2,git_pull,ai-orchestrator,crown_jewel,26865949,corp-workstation-7,10.67.103.181
2026-01-02T06:04:13,peer4,git_pull,general-tools,internal,13929249,corp-laptop-14,10.5.109.101
2026-01-02T08:03:54,peer5,git_fetch,general-tools,internal,43025149,corp-laptop-14,10.82.243.243
2026-01-02T08:53:42,peer4,git_fetch,general-tools,internal,16786855,corp-laptop-22,10.21.161.180
2026-01-02T10:05:49,engineer.a,git_pull,general-tools,internal,9206815,corp-laptop-22,10.156.113.192
2026-01-02T10:12:53,peer5,git_clone,accelerator-arch,restricted,280601638,corp-laptop-14,10.35.87.92
2026-01-02T10:26:12,peer1,git_pull,build-pipelines,internal,47955126,corp-laptop-22,10.70.97.191
2026-01-02T10:52:58,peer3,git_pull,general-tools,internal,45961036,corp-workstation-7,10.37.65.236
2026-01-02T11:02:31,peer2,git_pull,ai-orchestrator,crown_jewel,11418700,corp-laptop-22,10.49.248.137
2026-01-02T11:22:09,engineer.a,git_fetch,accelerator-arch,restricted,44608734,corp-laptop-14,10.231.102.88
2026-01-02T12:16:11,peer2,git_fetch,general-tools,internal,22272283,corp-laptop-11,10.250.46.128
2026-01-02T12:48:07,engineer.a,git_fetch,general-tools,internal,1859450,corp-laptop-14,10.243.196.143
2026-01-02T13:54:31,peer1,git_clone,ai-orchestrator,crown_jewel,362925874,corp-laptop-11,10.79.19.105
2026-01-02T14:31:22,peer1,git_fetch,build-pipelines,internal,3826940,corp-laptop-11,10.203.126.63
2026-01-02T14:50:34,peer1,git_pull,general-tools,internal,43375189,corp-laptop-22,10.135.118.85
2026-01-02T16:19:15,peer3,git_archive_download,ai-orchestrator,crown_jewel,303460354,corp-laptop-14,10.126.156.175
2026-01-02T16:39:10,engineer.a,git_clone,general-tools,internal,276425592,corp-workstation-7,10.34.195.109
2026-01-02T16:53:24,peer5,git_clone,ai-orchestrator,crown_jewel,111052368,corp-laptop-22,10.236.205.58
2026-01-02T17:25:47,engineer.a,git_clone,smartnic-fw,restricted,193138087,corp-laptop-14,10.130.212.68
2026-01-02T17:28:22,peer4,git_archive_download,ai-orchestrator,crown_jewel,167261273,corp-laptop-14,10.46.156.54
2026-01-02T17:36:58,peer5,git_fetch,smartnic-fw,restricted,11184364,corp-laptop-14,10.51.44.128
2026-01-02T18:27:10,peer4,git_pull,ai-orchestrator,crown_jewel,20109459,corp-laptop-22,10.7.161.28
2026-01-02T19:44:19,peer4,git_pull,build-pipelines,internal,45815483,corp-workstation-7,10.132.233.47
2026-01-02T21:02:15,engineer.a,git_clone,accelerator-arch,restricted,63341504,corp-laptop-22,10.224.40.47
2026-01-02T21:45:57,peer5,git_fetch,smartnic-fw,restricted,28755819,corp-laptop-22,10.232.129.191
2026-01-02T23:04:21,peer1,git_clone,build-pipelines,internal,85786743,corp-laptop-11,10.109.201.87
2026-01-02T23:57:02,engineer.a,git_clone,ai-orchestrator,crown_jewel,123336558,corp-laptop-14,10.238.207.128
2026-01-02T23:58:27,peer1,git_fetch,ai-orchestrator,crown_jewel,15709850,corp-laptop-14,10.147.49.91
2026-01-03T00:45:19,peer3,git_fetch,build-pipelines,internal,18054575,corp-laptop-22,10.155.3.193
2026-01-03T01:15:56,peer1,git_archive_download,accelerator-arch,restricted,195969630,corp-laptop-22,10.85.219.0
2026-01-03T02:31:47,peer5,git_archive_download,ai-orchestrator,crown_jewel,254252130,corp-laptop-14,10.169.141.224
2026-01-03T04:09:07,peer2,git_clone,smartnic-fw,restricted,348226591,corp-workstation-7,10.36.41.187
2026-01-03T05:40:41,peer5,git_fetch,smartnic-fw,restricted,16512194,corp-laptop-22,10.99.38.151
2026-01-03T06:25:15,peer2,git_fetch,ai-orchestrator,crown_jewel,34479343,corp-workstation-7,10.86.102.126
2026-01-03T07:43:13,engineer.a,git_fetch,ai-orchestrator,crown_jewel,40453528,corp-laptop-14,10.143.254.15
2026-01-03T08:10:23,peer3,git_fetch,smartnic-fw,restricted,43806990,corp-laptop-11,10.58.217.125
2026-01-03T08:37:04,peer5,git_fetch,accelerator-arch,restricted,10467895,corp-laptop-14,10.249.45.204
2026-01-03T12:24:18,peer2,git_pull,smartnic-fw,restricted,29102828,corp-workstation-7,10.25.240.64
2026-01-03T13:02:30,engineer.a,git_fetch,smartnic-fw,restricted,43196320,corp-laptop-11,10.63.113.227
2026-01-03T13:28:05,peer3,git_clone,ai-orchestrator,crown_jewel,324468036,corp-workstation-7,10.253.19.117
2026-01-03T14:04:34,peer1,git_archive_download,smartnic-fw,restricted,318057688,corp-workstation-7,10.203.38.136
2026-01-03T14:24:32,peer3,git_fetch,ai-orchestrator,crown_jewel,11148218,corp-workstation-7,10.27.203.117
2026-01-03T14:47:09,peer3,git_archive_download,build-pipelines,internal,134821620,corp-workstation-7,10.80.228.64
2026-01-03T14:55:13,engineer.a,git_fetch,ai-orchestrator,crown_jewel,42925265,corp-laptop-14,10.78.80.198
2026-01-03T15:43:35,peer4,git_pull,accelerator-arch,restricted,3598069,corp-laptop-14,10.195.190.152
2026-01-03T16:07:20,peer2,git_archive_download,ai-orchestrator,crown_jewel,361077691,corp-laptop-22,10.211.39.125
2026-01-03T16:20:59,peer3,git_fetch,accelerator-arch,restricted,39818048,corp-laptop-22,10.70.140.10
2026-01-03T17:54:22,peer4,git_pull,smartnic-fw,restricted,943240,corp-laptop-14,10.218.156.36
2026-01-03T18:38:11,peer2,git_fetch,smartnic-fw,restricted,20522614,corp-laptop-14,10.233.124.219
2026-01-03T21:09:37,peer5,git_fetch,ai-orchestrator,crown_jewel,23312582,corp-laptop-22,10.63.72.59
2026-01-03T21:36:40,peer2,git_fetch,smartnic-fw,restricted,12088233,corp-workstation-7,10.130.33.230
2026-01-03T21:48:15,peer2,git_pull,build-pipelines,internal,31217786,corp-workstation-7,10.196.135.204
2026-01-03T23:02:45,peer3,git_fetch,build-pipelines,internal,37359576,corp-laptop-22,10.223.214.48
2026-01-04T00:29:41,peer5,git_fetch,smartnic-fw,restricted,47564531,corp-laptop-11,10.185.38.45
2026-01-04T00:43:59,peer5,git_clone,general-tools,internal,246052882,corp-laptop-11,10.20.19.142
2026-01-04T01:07:46,peer4,git_clone,ai-orchestrator,crown_jewel,157558128,corp-workstation-7,10.55.220.103
2026-01-04T01:44:54,peer4,git_fetch,ai-orchestrator,crown_jewel,5423835,corp-laptop-14,10.199.220.84
2026-01-04T02:14:22,peer2,git_fetch,smartnic-fw,restricted,18338634,corp-workstation-7,10.174.173.163
2026-01-04T05:37:55,peer2,git_clone,accelerator-arch,restricted,188447628,corp-laptop-22,10.161.178.122
2026-01-04T05:52:01,engineer.a,git_fetch,build-pipelines,internal,7724991,corp-laptop-14,10.234.29.159
2026-01-04T06:00:12,peer1,git_archive_download,ai-orchestrator,crown_jewel,155419353,corp-laptop-22,10.221.93.236
2026-01-04T07:05:14,engineer.a,git_pull,ai-orchestrator,crown_jewel,43210268,corp-workstation-7,10.15.225.51
2026-01-04T07:23:19,engineer.a,git_pull,build-pipelines,internal,33075019,corp-laptop-14,10.177.17.14
2026-01-04T08:12:51,peer3,git_pull,accelerator-arch,restricted,10899713,corp-laptop-11,10.169.159.55
2026-01-04T09:56:04,engineer.a,git_fetch,smartnic-fw,restricted,7951917,corp-laptop-11,10.44.169.176
2026-01-04T11:55:33,peer1,git_archive_download,ai-orchestrator,crown_jewel,98780051,corp-laptop-11,10.117.113.36
2026-01-04T14:21:01,engineer.a,git_clone,accelerator-arch,restricted,181215944,corp-workstation-7,10.5.250.222
2026-01-04T14:49:21,engineer.a,git_pull,smartnic-fw,restricted,6743958,corp-laptop-22,10.177.62.149
2026-01-04T15:15:06,engineer.a,git_fetch,accelerator-arch,restricted,3912366,corp-workstation-7,10.155.97.10
2026-01-04T15:23:31,peer5,git_clone,build-pipelines,internal,157174343,corp-laptop-14,10.198.151.6
2026-01-04T16:23:43,engineer.a,git_fetch,general-tools,internal,38052100,corp-laptop-14,10.104.228.185
2026-01-04T16:31:23,peer4,git_fetch,general-tools,internal,37411781,corp-laptop-22,10.150.121.231
2026-01-04T16:33:25,engineer.a,git_fetch,build-pipelines,internal,570280,corp-workstation-7,10.6.119.47
2026-01-04T17:53:37,peer3,git_archive_download,general-tools,internal,81585735,corp-laptop-22,10.90.80.236
2026-01-04T20:34:55,peer1,git_fetch,accelerator-arch,restricted,9707102,corp-laptop-14,10.228.207.121
2026-01-04T21:39:25,peer5,git_fetch,accelerator-arch,restricted,7223628,corp-laptop-14,10.37.89.73
2026-01-04T22:20:23,peer4,git_fetch,accelerator-arch,restricted,45727007,corp-workstation-7,10.225.104.187
2026-01-04T22:45:46,peer1,git_fetch,smartnic-fw,restricted,2729712,corp-laptop-22,10.159.251.141
2026-01-04T23:56:38,peer4,git_archive_download,general-tools,internal,335096532,corp-laptop-11,10.137.93.0
2026-01-05T01:04:04,peer4,git_fetch,build-pipelines,internal,41343795,corp-laptop-22,10.221.27.61
2026-01-05T01:15:05,peer1,git_archive_download,smartnic-fw,restricted,220410172,corp-workstation-7,10.85.149.147
2026-01-05T02:19:44,peer4,git_fetch,accelerator-arch,restricted,1961991,corp-laptop-11,10.86.243.194
2026-01-05T02:48:08,peer3,git_fetch,accelerator-arch,restricted,36118125,corp-workstation-7,10.109.185.6
2026-01-05T02:48:57,peer4,git_fetch,general-tools,internal,47570084,corp-workstation-7,10.97.79.245
2026-01-05T03:06:07,peer1,git_archive_download,accelerator-arch,restricted,297447367,corp-laptop-14,10.187.131.224
2026-01-05T03:08:25,engineer.a,git_fetch,smartnic-fw,restricted,27820670,corp-laptop-14,10.99.95.9
2026-01-05T03:38:52,engineer.a,git_archive_download,smartnic-fw,restricted,380581942,corp-workstation-7,10.3.219.215
2026-01-05T03:44:10,engineer.a,git_fetch,build-pipelines,internal,24801587,corp-workstation-7,10.149.117.160
2026-01-05T03:44:25,peer5,git_fetch,smartnic-fw,restricted,49945801,corp-laptop-11,10.53.247.110
2026-01-05T03:57:22,engineer.a,git_fetch,general-tools,internal,18272077,corp-laptop-22,10.121.206.179
2026-01-05T03:59:46,peer5,git_fetch,smartnic-fw,restricted,3510610,corp-laptop-11,10.121.109.178
2026-01-05T04:15:01,peer1,git_fetch,build-pipelines,internal,28077744,corp-workstation-7,10.58.9.137
2026-01-05T04:49:50,peer3,git_pull,accelerator-arch,restricted,25818343,corp-laptop-22,10.34.228.11
2026-01-05T05:27:34,peer4,git_fetch,smartnic-fw,restricted,11695220,corp-laptop-11,10.134.126.49
2026-01-05T06:04:12,peer3,git_pull,general-tools,internal,30473194,corp-laptop-11,10.161.75.98
2026-01-05T06:29:47,peer2,git_fetch,general-tools,internal,48642362,corp-workstation-7,10.173.91.45
2026-01-05T06:44:57,engineer.a,git_pull,accelerator-arch,restricted,34659361,corp-laptop-14,10.96.235.80
2026-01-05T08:18:17,peer4,git_fetch,ai-orchestrator,crown_jewel,38501164,corp-workstation-7,10.162.104.15
2026-01-05T09:07:22,peer2,git_clone,smartnic-fw,restricted,240424030,corp-laptop-14,10.248.111.238
2026-01-05T09:34:59,peer3,git_fetch,general-tools,internal,44077242,corp-laptop-11,10.141.225.232
2026-01-05T09:40:07,peer1,git_fetch,smartnic-fw,restricted,15714905,corp-workstation-7,10.4.42.50
2026-01-05T09:47:52,peer5,git_clone,ai-orchestrator,crown_jewel,210900133,corp-laptop-22,10.134.162.157
2026-01-05T09:50:06,peer2,git_archive_download,general-tools,internal,340897622,corp-workstation-7,10.96.5.171
2026-01-05T10:26:37,peer5,git_clone,smartnic-fw,restricted,318813661,corp-laptop-22,10.195.187.104
2026-01-05T11:04:58,peer5,git_fetch,smartnic-fw,restricted,40159273,corp-laptop-11,10.219.206.171
2026-01-05T11:54:47,engineer.a,git_fetch,ai-orchestrator,crown_jewel,22708277,corp-laptop-14,10.43.151.77
2026-01-05T12:06:42,engineer.a,git_archive_download,build-pipelines,internal,330572841,corp-laptop-14,10.76.182.162
2026-01-05T13:20:54,peer2,git_fetch,general-tools,internal,26906635,corp-laptop-22,10.30.171.252
2026-01-05T14:57:56,peer4,git_fetch,smartnic-fw,restricted,5123636,corp-laptop-14,10.30.141.61
2026-01-05T15:57:25,peer5,git_clone,accelerator-arch,restricted,169016521,corp-laptop-14,10.254.252.132
2026-01-05T17:01:06,peer5,git_pull,build-pipelines,internal,13755788,corp-laptop-22,10.110.15.32
2026-01-05T17:24:30,peer3,git_archive_download,general-tools,internal,202174491,corp-laptop-14,10.138.78.54
2026-01-05T19:07:37,peer3,git_pull,smartnic-fw,restricted,43176956,corp-laptop-22,10.7.45.117
2026-01-05T19:38:57,peer4,git_fetch,accelerator-arch,restricted,36034627,corp-laptop-22,10.132.188.112
2026-01-05T19:54:31,peer4,git_clone,general-tools,internal,357833424,corp-laptop-22,10.82.184.99
2026-01-05T20:22:35,peer2,git_archive_download,general-tools,internal,133981741,corp-laptop-14,10.238.213.65
2026-01-05T20:25:25,peer5,git_pull,smartnic-fw,restricted,6542497,corp-laptop-14,10.191.162.240
2026-01-05T20:39:13,peer2,git_fetch,accelerator-arch,restricted,39239429,corp-workstation-7,10.137.5.24
2026-01-05T22:08:12,engineer.a,git_fetch,accelerator-arch,restricted,227610,corp-laptop-14,10.61.182.229
2026-01-05T22:30:09,peer4,git_archive_download,ai-orchestrator,crown_jewel,119209079,corp-laptop-14,10.178.233.125
2026-01-05T22:48:12,peer2,git_fetch,smartnic-fw,restricted,9985036,corp-workstation-7,10.157.165.232
2026-01-05T23:26:36,peer1,git_fetch,ai-orchestrator,crown_jewel,31381581,corp-laptop-22,10.33.75.57
2026-01-06T01:20:11,peer3,git_pull,general-tools,internal,42430289,corp-workstation-7,10.211.79.107
2026-01-06T01:27:58,peer1,git_fetch,smartnic-fw,restricted,41726252,corp-laptop-11,10.55.54.210
2026-01-06T02:38:21,peer2,git_fetch,smartnic-fw,restricted,8067893,corp-laptop-14,10.86.3.242
2026-01-06T03:53:25,engineer.a,git_fetch,accelerator-arch,restricted,11720899,corp-laptop-14,10.137.223.177
2026-01-06T04:09:16,engineer.a,git_clone,build-pipelines,internal,276841168,corp-laptop-14,10.35.200.90
2026-01-06T04:15:01,engineer.a,git_fetch,smartnic-fw,restricted,34246964,corp-laptop-14,10.28.225.205
2026-01-06T05:37:21,engineer.a,git_fetch,smartnic-fw,restricted,32533034,corp-laptop-22,10.81.115.188
2026-01-06T06:05:12,peer3,git_clone,accelerator-arch,restricted,324008374,corp-laptop-22,10.131.125.178
2026-01-06T06:10:29,peer2,git_pull,ai-orchestrator,crown_jewel,15012894,corp-laptop-14,10.47.74.214
2026-01-06T07:21:04,engineer.a,git_fetch,smartnic-fw,restricted,27752139,corp-laptop-14,10.82.28.78
2026-01-06T07:48:19,peer2,git_fetch,general-tools,internal,10951605,corp-laptop-11,10.176.13.76
2026-01-06T08:39:57,peer4,git_fetch,accelerator-arch,restricted,18412696,corp-workstation-7,10.7.155.87
2026-01-06T08:44:57,peer4,git_clone,smartnic-fw,restricted,78278150,corp-workstation-7,10.191.222.116
2026-01-06T08:59:51,peer1,git_archive_download,smartnic-fw,restricted,309946964,corp-laptop-22,10.214.226.20
2026-01-06T09:19:10,peer5,git_fetch,ai-orchestrator,crown_jewel,20021762,corp-laptop-22,10.129.14.163
2026-01-06T10:15:00,peer1,git_fetch,build-pipelines,internal,34351926,corp-laptop-11,10.253.155.204
2026-01-06T10:34:22,peer4,git_fetch,build-pipelines,internal,6653429,corp-workstation-7,10.211.52.174
2026-01-06T10:48:23,peer2,git_clone,build-pipelines,internal,142910124,corp-laptop-22,10.233.92.197
2026-01-06T11:05:30,peer5,git_fetch,smartnic-fw,restricted,23985807,corp-workstation-7,10.240.147.145
2026-01-06T11:22:37,peer1,git_pull,general-tools,internal,37302966,corp-laptop-14,10.237.134.55
2026-01-06T11:43:44,peer5,git_archive_download,general-tools,internal,191858633,corp-workstation-7,10.9.83.78
2026-01-06T11:44:01,peer4,git_fetch,smartnic-fw,restricted,10007988,corp-workstation-7,10.246.109.196
2026-01-06T12:11:23,engineer.a,git_archive_download,build-pipelines,internal,151616162,corp-laptop-14,10.96.93.218
2026-01-06T12:20:39,engineer.a,git_fetch,build-pipelines,internal,3062592,corp-laptop-14,10.171.173.83
2026-01-06T12:22:27,peer3,git_archive_download,build-pipelines,internal,84000919,corp-workstation-7,10.101.83.164
2026-01-06T14:11:03,engineer.a,git_fetch,general-tools,internal,39862373,corp-laptop-14,10.77.213.49
2026-01-06T14:16:04,peer1,git_fetch,accelerator-arch,restricted,12257255,corp-workstation-7,10.68.210.216
2026-01-06T14:17:57,peer5,git_fetch,smartnic-fw,restricted,29935236,corp-laptop-11,10.13.104.217
2026-01-06T14:18:42,peer1,git_pull,accelerator-arch,restricted,19747176,corp-laptop-14,10.208.48.167
2026-01-06T14:30:23,peer5,git_archive_download,accelerator-arch,restricted,210939734,corp-laptop-22,10.107.43.122
2026-01-06T15:38:18,peer1,git_archive_download,accelerator-arch,restricted,365727553,corp-laptop-14,10.119.104.152
2026-01-06T18:03:58,peer4,git_pull,smartnic-fw,restricted,14309868,corp-workstation-7,10.61.179.151
2026-01-06T18:50:26,peer2,git_fetch,accelerator-arch,restricted,28698098,corp-workstation-7,10.171.183.175
2026-01-06T20:59:49,peer1,git_fetch,accelerator-arch,restricted,47229016,corp-laptop-22,10.127.181.218
2026-01-06T21:39:43,engineer.a,git_clone,smartnic-fw,restricted,325812967,corp-workstation-7,10.65.57.1
2026-01-07T03:06:59,engineer.a,git_fetch,accelerator-arch,restricted,45390820,corp-workstation-7,10.61.188.1
2026-01-07T03:21:05,peer2,git_clone,smartnic-fw,restricted,80630446,corp-laptop-22,10.176.245.99
2026-01-07T04:33:35,engineer.a,git_pull,accelerator-arch,restricted,37998493,corp-laptop-22,10.194.85.154
2026-01-07T04:37:51,peer2,git_pull,accelerator-arch,restricted,40006882,corp-laptop-11,10.221.83.156
2026-01-07T04:48:25,peer3,git_archive_download,smartnic-fw,restricted,53239668,corp-workstation-7,10.157.191.211
2026-01-07T05:48:26,peer1,git_fetch,general-tools,internal,21991808,corp-laptop-22,10.150.175.224
2026-01-07T06:51:48,peer5,git_pull,general-tools,internal,11762167,corp-laptop-22,10.249.4.248
2026-01-07T08:43:02,peer2,git_fetch,accelerator-arch,restricted,33590390,corp-laptop-14,10.94.50.150
2026-01-07T09:04:32,peer1,git_clone,build-pipelines,internal,73709250,corp-laptop-22,10.54.250.193
2026-01-07T09:56:45,peer1,git_pull,build-pipelines,internal,28616302,corp-laptop-11,10.13.32.118
2026-01-07T11:15:00,peer4,git_fetch,smartnic-fw,restricted,27907453,corp-laptop-11,10.198.105.42
2026-01-07T11:27:46,peer1,git_fetch,ai-orchestrator,crown_jewel,18939038,corp-laptop-14,10.179.230.177
2026-01-07T11:50:52,peer4,git_fetch,accelerator-arch,restricted,8307263,corp-laptop-14,10.120.50.93
2026-01-07T12:09:18,engineer.a,git_archive_download,general-tools,internal,381016084,corp-laptop-14,10.202.181.15
2026-01-07T13:33:09,engineer.a,git_pull,smartnic-fw,restricted,39961742,corp-laptop-14,10.161.37.19
2026-01-07T14:45:07,peer3,git_fetch,build-pipelines,internal,46559461,corp-laptop-22,10.246.206.159
2026-01-07T15:09:39,peer5,git_pull,build-pipelines,internal,26231513,corp-laptop-14,10.34.131.98
2026-01-07T16:55:07,engineer.a,git_clone,ai-orchestrator,crown_jewel,340917659,corp-workstation-7,10.142.3.119
2026-01-07T17:15:08,peer4,git_archive_download,smartnic-fw,restricted,141842687,corp-laptop-14,10.3.97.182
2026-01-07T17:35:58,peer3,git_pull,general-tools,internal,39113964,corp-laptop-11,10.26.136.176
2026-01-07T18:53:42,peer2,git_archive_download,ai-orchestrator,crown_jewel,233455732,corp-laptop-11,10.148.147.1
2026-01-07T22:19:43,peer3,git_pull,build-pipelines,internal,14737346,corp-laptop-22,10.62.31.211
2026-01-07T22:40:40,peer4,git_pull,build-pipelines,internal,10509456,corp-laptop-11,10.132.119.219
2026-01-08T01:16:09,peer2,git_pull,ai-orchestrator,crown_jewel,6761306,corp-workstation-7,10.215.91.188
2026-01-08T01:25:35,peer3,git_fetch,build-pipelines,internal,8436474,corp-laptop-11,10.184.254.94
2026-01-08T01:51:52,peer1,git_pull,accelerator-arch,restricted,37891584,corp-laptop-11,10.67.12.134
2026-01-08T01:56:23,engineer.a,git_fetch,general-tools,internal,27451312,corp-workstation-7,10.140.24.21
2026-01-08T02:11:32,peer5,git_pull,general-tools,internal,12952134,corp-laptop-14,10.17.60.6
2026-01-08T02:52:43,peer5,git_archive_download,smartnic-fw,restricted,379939360,corp-workstation-7,10.90.230.47
2026-01-08T04:15:36,engineer.a,git_fetch,build-pipelines,internal,11046151,corp-workstation-7,10.62.179.118
2026-01-08T04:43:17,peer2,git_fetch,build-pipelines,internal,34994648,corp-workstation-7,10.129.88.131
2026-01-08T05:04:55,engineer.a,git_pull,smartnic-fw,restricted,16767709,corp-laptop-14,10.40.232.146
2026-01-08T05:28:41,peer4,git_pull,accelerator-arch,restricted,46477423,corp-workstation-7,10.103.239.89
2026-01-08T05:43:38,peer5,git_clone,accelerator-arch,restricted,391263545,corp-laptop-11,10.244.100.96
2026-01-08T08:42:26,peer3,git_pull,ai-orchestrator,crown_jewel,28075412,corp-laptop-11,10.16.133.148
2026-01-08T08:47:35,peer5,git_pull,ai-orchestrator,crown_jewel,6301202,corp-workstation-7,10.109.84.1
2026-01-08T09:34:06,engineer.a,git_fetch,ai-orchestrator,crown_jewel,38570070,corp-workstation-7,10.27.215.42
2026-01-08T10:24:51,peer3,git_fetch,accelerator-arch,restricted,13533214,corp-laptop-22,10.188.172.38
2026-01-08T11:06:12,engineer.a,git_fetch,smartnic-fw,restricted,12166744,corp-workstation-7,10.98.238.142
2026-01-08T11:16:48,engineer.a,git_fetch,build-pipelines,internal,4899917,corp-workstation-7,10.88.170.192
2026-01-08T11:41:44,peer5,git_pull,build-pipelines,internal,20867194,corp-workstation-7,10.81.56.187
2026-01-08T12:02:24,peer4,git_clone,general-tools,internal,51632558,corp-workstation-7,10.169.199.7
2026-01-08T14:27:10,peer2,git_fetch,ai-orchestrator,crown_jewel,44338034,corp-laptop-22,10.15.219.169
2026-01-08T14:40:37,peer3,git_pull,smartnic-fw,restricted,5998520,corp-workstation-7,10.217.16.166
2026-01-08T15:08:19,peer2,git_pull,general-tools,internal,35663230,corp-laptop-14,10.184.97.92
2026-01-08T16:00:55,peer5,git_fetch,general-tools,internal,21869182,corp-laptop-22,10.224.128.51
2026-01-08T16:14:31,peer4,git_archive_download,build-pipelines,internal,99644326,corp-laptop-11,10.151.254.205
2026-01-08T16:44:18,peer4,git_pull,accelerator-arch,restricted,42421632,corp-laptop-22,10.74.248.172
2026-01-08T18:08:54,peer1,git_archive_download,accelerator-arch,restricted,333676908,corp-laptop-11,10.242.114.162
2026-01-08T18:15:37,peer1,git_pull,build-pipelines,internal,37907893,corp-laptop-14,10.211.230.124
2026-01-08T18:28:01,peer3,git_fetch,accelerator-arch,restricted,38677964,corp-laptop-22,10.177.116.21
2026-01-08T18:45:14,peer3,git_clone,build-pipelines,internal,57874087,corp-laptop-22,10.75.231.226
2026-01-08T19:48:13,peer1,git_clone,smartnic-fw,restricted,381621596,corp-laptop-11,10.65.48.19
2026-01-08T20:29:39,engineer.a,git_fetch,smartnic-fw,restricted,2643003,corp-workstation-7,10.16.27.242
2026-01-08T20:37:44,peer5,git_fetch,accelerator-arch,restricted,47679108,corp-laptop-22,10.54.249.210
2026-01-08T21:04:39,peer3,git_fetch,build-pipelines,internal,36494178,corp-laptop-11,10.242.23.7
